rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_id,team_name,team_region,team_seed
0.988339637138,0.892897868247,0.770568967407,0.618578673348,0.417445801119,0.271860311755,2250,Gonzaga,West,1
0.968928817195,0.785008296614,0.508663897079,0.331550596816,0.185830010387,0.08978198473,2305,Kansas,Midwest,1
0.95486796975,0.812271396136,0.49865300601,0.333221543618,0.152430467175,0.085167670825,96,Kentucky,East,2
0.965720047611,0.807825203106,0.480448830556,0.287843531459,0.152336148043,0.068506424271,12,Arizona,South,1
0.945098252345,0.758446148042,0.485510201995,0.229130519213,0.122915551847,0.056760946524,2,Auburn,Midwest,2
0.948320571996,0.677927050518,0.395635956231,0.194291084445,0.103508410389,0.046873774005,222,Villanova,South,2
0.816344258688,0.613861533848,0.314340822644,0.194366047734,0.095514159426,0.040361131032,2294,Iowa,Midwest,5
0.768048297263,0.454564518132,0.250095001853,0.151741948326,0.082675996892,0.038338216345,248,Houston,South,5
0.939351258825,0.620506331771,0.300734729224,0.182762339413,0.07348190771,0.037202973766,2509,Purdue,East,3
0.941402378758,0.641797738723,0.337682081133,0.158070492392,0.082215331767,0.036305143483,2633,Tennessee,South,3
0.925615737287,0.65392431895,0.378881874962,0.16472079267,0.064925186778,0.032370426583,26,UCLA,East,4
0.970644764402,0.708911488034,0.375004458732,0.108718807868,0.057540506417,0.02976182737,150,Duke,West,2
0.926978076152,0.638795968432,0.370020913535,0.113662648145,0.057778956889,0.028793674634,2641,Texas Tech,West,3
0.963014020329,0.697912843559,0.342573295772,0.131441640212,0.0498193247,0.02409629092,239,Baylor,East,1
0.806639407015,0.412025851597,0.169487887883,0.081161893364,0.037353191074,0.01453684005,356,Illinois,South,4
0.671008513676,0.352628478955,0.157598433829,0.059758108665,0.028978319447,0.01208359757,99,Louisiana State,Midwest,6
0.717856124793,0.382436142703,0.079885566474,0.041783141905,0.020740609526,0.010112462503,8,Arkansas,West,4
0.848889049507,0.481604478441,0.216157170315,0.082319322862,0.028882906149,0.008785638243,275,Wisconsin,Midwest,3
0.541929499529,0.207838460837,0.082545627674,0.043176535326,0.016861285756,0.008346685424,251,Texas,East,6
0.862753431513,0.485379027007,0.082074256486,0.037536077568,0.015956949711,0.00675509305,41,Connecticut,West,5
0.621515549718,0.234399953078,0.107589339023,0.024610996954,0.011731199564,0.005511337971,333,Alabama,West,6
0.689911398471,0.268022630318,0.105688371287,0.037225108514,0.014929365927,0.005055624578,130,Michigan,South,11
0.458070500471,0.162353061205,0.065764671183,0.034926569848,0.011088274926,0.004663915085,259,Virginia Tech,East,11
0.57930244699,0.184244137609,0.087865981989,0.03267724602,0.009530799073,0.003744594084,153,North Carolina,East,8
0.551158108942,0.180840359995,0.076045406042,0.026476926185,0.010611044906,0.003590675854,194,Ohio State,South,7
0.517236391841,0.055737085772,0.029833986676,0.01369327396,0.006223369407,0.002799413786,235,Memphis,West,9
0.60642771317,0.216562176377,0.088358842649,0.026043341569,0.007030693655,0.00259382331,2608,Saint Mary's (CA),East,5
0.448841891058,0.132664707725,0.055630248187,0.019313763651,0.007604728278,0.002528254202,2350,Loyola (IL),South,10
0.665544234365,0.222246342613,0.06131505107,0.023447980024,0.007301792574,0.001981765762,2507,Providence,Midwest,4
0.554411820048,0.122817636358,0.045706621697,0.017693747707,0.006041645712,0.001790533534,21,San Diego State,Midwest,8
0.514157621072,0.150212840506,0.058051047049,0.011688740335,0.00452710515,0.001761511272,127,Michigan State,West,7
0.517476996374,0.097580060574,0.036748578765,0.014520519406,0.005091456529,0.001508275168,2628,Texas Christian,South,9
0.51795856609,0.120156696398,0.049792743807,0.014219710387,0.004673913976,0.0013356419,30,Southern California,Midwest,7
0.42069755301,0.113026145738,0.043222889905,0.012740842309,0.00313597659,0.001072133397,269,Marquette,East,9
0.482523003626,0.087303082901,0.028848616817,0.010117173569,0.003545335415,0.001049630964,2550,Seton Hall,South,8
0.482763608159,0.049709728471,0.025169858906,0.01090102149,0.003319451418,0.001039217742,68,Boise State,West,8
0.445588179952,0.086936441001,0.032167760806,0.012385349933,0.003827568986,0.001031317803,156,Creighton,Midwest,9
0.580126824317,0.109517412266,0.031927608202,0.011894554701,0.002926369955,0.001000102752,93,Murray State,East,7
0.485842378928,0.137707773934,0.043739831341,0.007134307473,0.002494209172,0.000884730558,2166,Davidson,West,10
0.231951702737,0.084512017972,0.023338296939,0.007985526413,0.002869326713,0.000870847056,5,Alabama-Birmingham,South,12
0.48204143391,0.107425721751,0.039004840576,0.009690227708,0.003029345434,0.000825245235,2390,Miami (FL),Midwest,10
0.328991486324,0.129201837025,0.042328604728,0.011741995681,0.003304640384,0.000814575596,66,Iowa State,Midwest,11
0.310088601529,0.080358054047,0.027073332689,0.008193766071,0.002684509944,0.000743653248,36,Colorado State,South,6
0.419873175683,0.065411014392,0.017317999198,0.005963341328,0.001341991247,0.000425739669,2539,San Francisco,East,10
0.183655741312,0.087109055592,0.019585996621,0.006312305015,0.001686506079,0.000395674436,257,Richmond,Midwest,12
0.334455765635,0.076783067947,0.017698631996,0.005825525708,0.001505209533,0.000342089296,2571,South Dakota State,Midwest,13
0.282143875207,0.101500727843,0.00955155795,0.00284867863,0.000797180712,0.000231175507,261,Vermont,West,13
0.193360592985,0.048897612299,0.010102534673,0.002679180323,0.0007558583,0.000180756719,236,Chattanooga,South,13
0.137246568487,0.030684102447,0.002649304903,0.000737720994,0.000169908193,4.1259888E-05,166,New Mexico State,West,12
0.151110950493,0.036565205579,0.007309572822,0.001243843007,0.000226679723,3.6968545E-05,2142,Colgate,Midwest,14
0.074384262713,0.016224002089,0.004339121816,0.000830953624,0.000122472979,2.6971096E-05,2006,Akron,East,13
0.060648741175,0.009302146187,0.001492087597,0.000359483944,3.9229402E-05,6.5976E-06,43,Yale,East,14
0.04513203025,0.012800177205,0.001564270912,0.000276676266,3.1263479E-05,5.426906E-06,2612,Saint Peter's,East,15
0.054901747655,0.01397143381,0.002298431928,0.000257579101,3.7427138E-05,4.916228E-06,55,Jacksonville State,Midwest,15
0.073021923848,0.014756784969,0.002667486094,0.000224951598,3.1407983E-05,4.797685E-06,147,Montana State,West,14
0.058597621242,0.009821576913,0.001144481058,0.000124882271,1.8358333E-05,2.320725E-06,2344,Longwood,South,14
0.051679428004,0.008567881761,0.001100123374,0.000119229808,1.7219254E-05,2.139256E-06,48,Delaware,South,15
0.011660362862,0.001655317511,0.000266501198,3.7271249E-05,5.912145E-06,1.017516E-06,2247,Georgia State,West,16
0.036985979671,0.004816873094,0.000629102344,6.3619333E-05,4.715565E-06,5.54969E-07,2450,Norfolk State,East,16
0.029355235598,0.003167897526,0.000431171626,2.9711682E-05,2.998293E-06,3.37024E-07,2239,Cal State Fullerton,West,15